,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Longyearbyen,20,NO,1547941800,70,78.22,15.63,-4.01,6.93
1,Rikitea,64,PF,1547944059,100,-23.12,-134.97,79.94,10.67
2,Hilo,1,US,1547941980,62,19.71,-155.08,80.06,8.05
3,Dunmore East,64,IE,1547944061,100,52.15,-6.99,41.01,3.74
4,Ayagoz,36,KZ,1547944063,62,47.96,80.43,-4.49,3.74
5,Kilindoni,64,TZ,1547944064,100,-7.91,39.67,82.55,12.46
6,Vila Franca do Campo,20,PT,1547940600,76,37.72,-25.43,57.2,5.82
7,Mbandaka,20,CD,1547944066,90,0.05,18.26,74.58,3.06
8,Grand-Santi,48,GF,1547944068,98,4.27,-54.38,73.59,2.06
9,Mehamn,76,NO,1547944069,84,71.03,27.85,16.94,7.99
10,Zhigansk,56,RU,1547944070,42,66.77,123.37,-26.94,11.45
11,Hermanus,0,ZA,1547943755,92,-34.42,19.24,48.35,5.19
12,Bambous Virieux,75,MU,1547938800,94,-20.34,57.76,77.0,3.36
13,Lebu,0,ET,1547944074,81,8.96,38.73,37.68,2.51
14,Ushuaia,40,AR,1547942400,57,-54.81,-68.31,50.0,26.4
15,Maun,0,BW,1547942400,88,-19.99,23.42,75.2,3.36
16,Saint-Augustin,68,FR,1547942400,100,44.83,-0.61,41.0,2.24
17,Souillac,76,FR,1547942400,93,45.6,-0.6,44.6,6.93
18,Danshui,88,CN,1547942400,82,22.81,114.46,66.2,6.71
19,Siparia,20,TT,1547942400,78,10.14,-61.51,77.0,5.82
20,Phangnga,20,TH,1547942400,78,8.45,98.53,77.0,3.18
21,Port Alfred,68,ZA,1547943679,97,-33.59,26.89,63.29,8.43
22,Kapaa,20,US,1547942160,64,22.08,-159.32,78.98,14.99
23,Codrington,75,AU,1547942400,58,-28.95,153.24,87.8,6.93
24,Camocim,92,BR,1547944087,97,-2.9,-40.84,74.54,4.63
25,Mataura,80,NZ,1547944088,66,-46.19,168.86,62.16,26.66
26,Sungairaya,92,ID,1547944089,100,0.7,108.9,75.12,3.62
27,Nikolskoye,90,RU,1547942400,92,59.7,30.79,24.8,11.18
28,Geraldton,5,CA,1547942400,68,49.72,-86.95,-20.21,4.7
29,Road Town,40,VG,1547942400,69,18.42,-64.62,77.0,8.05
30,Tasiilaq,8,GL,1547941800,68,65.61,-37.64,24.8,3.36
31,Busselton,0,AU,1547944095,82,-33.64,115.35,74.94,6.2
32,Pankovka,88,RU,1547944096,88,58.5,31.2,24.18,17.49
33,Bluff,0,AU,1547944036,54,-23.58,149.07,83.31,9.66
34,Jojoima,36,SL,1547944099,89,7.88,-10.79,74.58,3.51
